Date,Accomodation,Huawei?,Location,Level,Type,Description,Comments,Date Done,Maintenance-Time(h)
1/12/21,,,Lobby Reception,Low,Civil,All area with Complete offices,,1/12/21,8
1/14/21,,,Staff Cafeteria,Low,Civil,needed painting,,1/14/21,8
1/15/21,,,Lobby Façade,Urgent,Civil,Fixing Alucobond,,1/15/21,7
1/16/21,,,Outside lobby,Medium,General,Fountains are not working ,"Big fountain lacks lights, small fountain the motor's coil was burnt,  has been already sent for fixing.",2/20/21,2
1/16/21,,,Spa,Urgent,Civil,Turkish Bath stones have fallen,,1/20/21,8
1/16/21,,,Dubliner,Medium,Civil,Cracks in the wall   ,,1/19/21,10
1/16/21,,,Nawroz ,Medium,Civil, ceiling needs Civil + gutter leakage  ,,1/21/21,5
1/16/21,,,KItchen,Medium,Civil,Broken tiles  ,,1/19/21,8
1/17/21,,,Entrance area,Low,mechanical,Covers of the Jack,"Two bottum covers of the jacks outside have been missing outside for over a year now, and for good reason as the jacks would pull up any cover that would be attached to General. We sent the jacks outside for lathe machine, then we elevated the jacks, and broked the floor for Generals placing. The covers now are attached ",1/17/21,7
1/18/21,,,,,PPM,,"General Comment: This day was spend by adding 10 rooms to the PPM list, which uped the total number from 30 to 40",1/18/21,10
1/18/21,,,Spa,m,Carpentry,Door leading to SPA is damaged ,,1/20/21,3
1/19/21,,,,,Civil,,General Comment: This day was spent by fixing the cracks and civil issues of Dubliner as mentioned above ,1/19/21,8
1/19/21,,y,Huawie Corridor ,Urgent,AC,FCU pipes leak ,,1/20/21,4
1/19/21,,y,156,Urgent,pLumbing,Drain pipe of the toilet in Huawie has been blocked ,,1/19/21,1
1/20/21,,,Entrance area,Low,PPM,PPM on the security  gate,,1/20/21,3
1/20/21,,,Pump room,Medium,electrical,Protection relay missing from pool electric board ,,1/26/21,2
1/20/21,,,Lobby,Medium,Carpentry,Lobby door wood needs touch-up,This needs brown silicon. We do not have General.,2/3/21,4
1/20/21,,,Dubliner,Medium,Carpentry,Dubliner bar back stage sheet floor is damaged ,We need that type of floor sheet  ,1/25/21,7
1/20/21,,,Hotel façade,Medium,electrical,Three lines of light +The letters H and U of the building are not working ,,1/26/21,6
1/20/21,,,Entrance area,Medium,Civil,Secury  entrance road damage ,This needs tar. Kak Barzan has been informed ,3/1/21,1
1/20/21,,,Reception ,Medium,Carpentry,Shelves for reception , ,2/1/21,3
1/20/21,,,Spa,Medium,mechanical,Jaccuzzi covers ,,2/3/21,4
1/20/21,,,Spa,Medium,General,Mirror for spa,We arewaGeneraling for next meeting complain kak barzan so that we can inform him,1/20/21,0.5
1/20/21,,,Basketball field ,Medium,electrical,The basketball field for Hwaie needs projectors to lighten the place up ,This took some time because we had to modify the projectores in a way that General can be attached in a stable way to the standing lights  ,2/11/21,10
1/21/21,,,,,PPM,,General Comment: Nawroz celing problem and Civil + the rimander of house-keeping list of rooms to be painted has been done  ,1/21/21,6
1/23/21,,,Spa,Medium,General,Jaccuzzi water seems to have gotten colder by one degree which produces comlaints by guests  ,The floor heating was turned on  to make the general atmosphere of the pool hoter so that the heater can manage to heat the water. Also General is important to note that General has been decided to make the heaters two instead of one in future as the heater is small and causes problems for us in times of winter,1/23/21,0.5
1/23/21,,,Pump room,Medium,electrical,Dosing Pump Electronic problem,"The issue is electronic, so we send the dosing pump to GMS to their electronic technician to fix the issue ",1/23/21,4
1/23/21,,,Spa,Medium,electrical,The changing color-big light in pool stopped working ,,1/27/21,8
1/23/21,,,Lobby,Medium,Carpentry,curtain broken,"This curtain has a certain type of robe, we are waGeneraling for next meeting complain kak barzan so that we can inform him",1/23/21,3
